brand,model,format,externalVolume,internal35Bays,powerSupply,sidePanel
Montech,XR,ATX Mid Tower,45.0,2,,Tempered Glass
Phanteks,XT PRO,ATX Mid Tower,51.8,2,,Tempered Glass
NZXT,H5 Flow (2024),ATX Mid Tower,45.0,1,,Tempered Glass
Corsair,3500X ARGB,ATX Mid Tower,55.9,2,,Tempered Glass
Corsair,3500X ARGB,ATX Mid Tower,55.9,2,,Tempered Glass
Lian Li,O11 VISION COMPACT,ATX Mid Tower,57.4,2,,Tempered Glass
Cooler Master,MasterBox Q300L,MicroATX Mini Tower,33.6,1,,Acrylic
Fractal Design,North,ATX Mid Tower,45.1,2,,Tempered Glass
Lian Li,O11 VISION COMPACT,ATX Mid Tower,57.4,2,,Tempered Glass
Lian Li,Lancool 207,ATX Mid Tower,45.5,2,,Tempered Glass
HYTE,Y70 Touch Infinite,ATX Mid Tower,70.7,2,,Tempered Glass
Lian Li,A3-mATX,MicroATX Mini Tower,26.3,1,,Mesh
Phanteks,XT PRO ULTRA,ATX Mid Tower,51.8,2,,Tempered Glass
Fractal Design,North XL,ATX Full Tower,61.4,2,,Tinted Tempered Glass
Phanteks,Eclipse G370A,ATX Mid Tower,48.7,0,,Tempered Glass
NZXT,H5 Flow (2024),ATX Mid Tower,45.0,1,,Tempered Glass
Lian Li,O11D EVO RGB,ATX Mid Tower,65.3,4,,Tempered Glass
Corsair,4000D Airflow,ATX Mid Tower,48.6,2,,Tinted Tempered Glass
Lian Li,A3-mATX,MicroATX Mini Tower,26.3,1,,Mesh
Corsair,FRAME 4000D RS ARGB,ATX Mid Tower,56.7,2,,Tempered Glass
Lian Li,Vector V100R,ATX Mid Tower,53.2,1,,Tempered Glass
HYTE,Y70 Touch Infinite,ATX Mid Tower,70.7,2,,Tempered Glass
Cooler Master,Q300L V2,MicroATX Mini Tower,34.1,1,,Tempered Glass
Montech,AIR 100 ARGB,MicroATX Mid Tower,36.1,2,,Tempered Glass
Lian Li,O11 Dynamic Mini V2,ATX Mini Tower,45.4,2,,Tempered Glass
NZXT,H9 Flow (2023),ATX Mid Tower,66.9,2,,Tempered Glass
Lian Li,LANCOOL 217,ATX Mid Tower,57.7,1,,Tempered Glass
NZXT,H3 Flow,MicroATX Mid Tower,35.0,1,,Tinted Tempered Glass
NZXT,H6 Flow,ATX Mid Tower,51.8,1,,Tempered Glass
NZXT,H6 Flow,ATX Mid Tower,51.8,1,,Tempered Glass
NZXT,H9 Flow (2025),ATX Mid Tower,76.7,2,,Tinted Tempered Glass
Fractal Design,Terra,Mini ITX Desktop,11.4,0,,Mesh
Montech,XR,ATX Mid Tower,45.0,2,,Tempered Glass
Fractal Design,Pop XL Air,ATX Full Tower,62.4,3,,Tempered Glass
Montech,AIR 903 MAX,ATX Mid Tower,54.2,2,,Tempered Glass
Antec,C5 ARGB,ATX Mid Tower,,1,,Tempered Glass
Lian Li,O11 Dynamic EVO XL,ATX Full Tower,84.4,4,,Tempered Glass
Cooler Master,MasterBox NR200,Mini ITX Desktop,20.3,2,,
Lian Li,O11 Dynamic Mini V2,ATX Mini Tower,45.4,2,,Tempered Glass
Phanteks,XT M3,MicroATX Mid Tower,40.0,1,,Tempered Glass
Corsair,FRAME 4000D,ATX Mid Tower,56.7,2,,Tempered Glass
Lian Li,O11 Dynamic Mini V2 Flow,ATX Mini Tower,45.4,2,,Tempered Glass
HYTE,Y70,ATX Mid Tower,70.7,2,,Tempered Glass
Fractal Design,Meshify C,ATX Mid Tower,40.6,2,,Tinted Tempered Glass
Lian Li,LANCOOL 216 RGB,ATX Mid Tower,55.6,2,,Tempered Glass
HYTE,Y70,ATX Mid Tower,70.7,2,,Tempered Glass
Montech,X5M,MicroATX Mini Tower,45.3,2,,Tempered Glass
NZXT,H7 Flow (2024),ATX Mid Tower,62.1,2,,Tempered Glass
Montech,KING 95 PRO,ATX Mid Tower,63.0,5,,Tempered Glass
MSI,MAG FORGE 321R AIRFLOW,ATX Mid Tower,49.4,2,,Tempered Glass
Montech,AIR 903 BASE,ATX Mid Tower,54.2,2,,Tempered Glass
HAVN,BF 360 Flow,ATX Mid Tower,68.4,2,,Tempered Glass
Lian Li,O11D EVO RGB,ATX Mid Tower,65.3,4,,Tempered Glass
Fractal Design,North,ATX Mid Tower,45.1,2,,Mesh
Fractal Design,Terra,Mini ITX Desktop,11.4,0,,Mesh
Lian Li,A3-mATX,MicroATX Mini Tower,26.3,1,,Tempered Glass
Corsair,7000D AIRFLOW,ATX Full Tower,81.8,6,,Tempered Glass
Asus,Prime AP201,MicroATX Mini Tower,33.0,3,,Mesh
Corsair,3000D AIRFLOW,ATX Mid Tower,49.5,2,,Tempered Glass
MSI,MPG Sekira 500G,ATX Mid Tower,67.1,6,,Tempered Glass
Lian Li,A3-mATX,MicroATX Mini Tower,26.3,1,,Tempered Glass
Lian Li,A4-H20 X4,Mini ITX Desktop,11.1,0,,Mesh
Jonsbo,D32 PRO,MicroATX Desktop,25.7,2,,Tempered Glass
MUSETEX,Y6,ATX Mid Tower,40.9,2,,Tempered Glass
Antec,FLUX PRO,ATX Full Tower,70.8,4,,Tempered Glass
Corsair,9000D RGB AIRFLOW,ATX Full Tower,149.6,5,,Tempered Glass
Lian Li,O11 Dynamic EVO XL,ATX Full Tower,84.4,4,,Tempered Glass
Fractal Design,Pop Air,ATX Mid Tower,46.2,2,,Tempered Glass
Zalman,T3 PLUS,MicroATX Mid Tower,30.9,1,,Tempered Glass
Corsair,3500X,ATX Mid Tower,55.9,2,,Tempered Glass
Deepcool,CH160,Mini ITX Desktop,19.1,1,,Tempered Glass
NZXT,H9 Flow RGB+ (2025),ATX Mid Tower,76.7,2,,Tinted Tempered Glass
NZXT,H6 Flow RGB,ATX Mid Tower,51.8,1,,Tempered Glass
NZXT,H9 Elite,ATX Mid Tower,66.9,2,,Tempered Glass
Antec,C8,ATX Full Tower,66.9,2,,Tempered Glass
Corsair,SPEC-OMEGA RGB,ATX Mid Tower,,3,,Tempered Glass
Lian Li,Vector V100R,ATX Mid Tower,53.2,1,,Tempered Glass
Silverstone,ALTA F2,ATX Full Tower,98.9,8,,Tempered Glass
Montech,X3 Mesh,ATX Mid Tower,,2,,Tempered Glass
Fractal Design,Ridge PCIe 4.0,Mini ITX Tower,16.3,0,,Mesh
Lian Li,O11 Vision,ATX Mid Tower,67.8,2,,Tempered Glass
Deepcool,CG530 4F,ATX Mid Tower,50.0,2,,Tinted Acrylic
Jonsbo,Jonsplus Z20,MicroATX Desktop,25.3,1,,Tempered Glass
Fractal Design,North,ATX Mid Tower,45.1,2,,Tempered Glass
Fractal Design,North XL,ATX Full Tower,61.4,2,,Mesh
Jonsbo,NV10,Mini ITX Desktop,4.5,0,,Mesh
Corsair,FRAME 4000D RS,ATX Mid Tower,56.7,2,,Tempered Glass
Lian Li,A3-mATX,MicroATX Mini Tower,26.3,1,,Mesh
Lian Li,O11 Dynamic Mini V2 Flow,ATX Mini Tower,45.4,2,,Tempered Glass
Cooler Master,MasterBox NR200P V2,Mini ITX Desktop,20.1,1,,Mesh
Montech,X5,ATX Mid Tower,51.6,2,,Tempered Glass
Fractal Design,Define R5,ATX Mid Tower,54.2,8,,
Zalman,T8,ATX Mid Tower,33.4,2,,
NZXT,H6 Flow RGB,ATX Mid Tower,51.8,1,,Tempered Glass
Okinos,Cypress 3 Wood,MicroATX Mini Tower,31.4,2,,Tempered Glass
SAMA,SV01,ATX Mid Tower,43.5,2,,Tempered Glass
NZXT,H5 Flow RGB (2024),ATX Mid Tower,45.0,1,,Tempered Glass
Asus,ROG Strix Helios,ATX Full Tower,83.5,2,,Tempered Glass
Antec,C5 ARGB,ATX Mid Tower,,1,,Tempered Glass
Thermaltake,View 270 Plus TG ARGB,ATX Mid Tower,47.6,2,,Tempered Glass
Corsair,4000D Airflow,ATX Mid Tower,48.6,2,,Tinted Tempered Glass
Phanteks,XT M3,MicroATX Mid Tower,40.0,1,,Tempered Glass
Phanteks,EVOLV X2,ATX Mid Tower,60.9,2,,Tempered Glass
Fractal Design,Focus G,ATX Mid Tower,42.2,2,,Acrylic
Cooler Master,Elite 301,MicroATX Mid Tower,34.1,1,,Tempered Glass
Thermaltake,V100 Perforated,ATX Mid Tower,36.6,2,,
Thermaltake,Versa H18,MicroATX Mini Tower,30.4,2,,Acrylic
Cooler Master,Elite 302,MicroATX Mini Tower,34.1,1,,Tempered Glass
Fractal Design,Terra,Mini ITX Desktop,11.4,0,,Mesh
Lian Li,Lancool 207,ATX Mid Tower,45.5,2,,Tempered Glass
NZXT,H9 Flow RGB+ (2025),ATX Mid Tower,76.7,2,,Tempered Glass
Montech,XR Wood,ATX Mid Tower,49.8,2,,Tempered Glass
Lian Li,LANCOOL 216,ATX Mid Tower,55.6,2,,Tempered Glass
Fractal Design,Pop Mini Air,MicroATX Mid Tower,36.5,2,,Tempered Glass
Lian Li,O11 Vision,ATX Mid Tower,67.8,2,,Tempered Glass
NZXT,H510,ATX Mid Tower,41.3,2,,Tempered Glass
Deepcool,CH260,MicroATX Desktop,30.8,1,,Tempered Glass
Antec,FLUX,ATX Mid Tower,58.1,2,,Tempered Glass
Fractal Design,Meshify 2,ATX Mid Tower,61.7,6,,Tinted Tempered Glass
Corsair,5000D AIRFLOW,ATX Mid Tower,66.2,2,,Tempered Glass
be quiet!,Pure Base 501 Airflow,ATX Mid Tower,48.1,2,,
NZXT,H3 Flow,MicroATX Mid Tower,35.0,1,,Tempered Glass
MSI,MAG PANO 100R PZ,ATX Mid Tower,72.5,2,,Tempered Glass
Fractal Design,Meshify 2,ATX Mid Tower,61.7,6,,
HYTE,Y70 Touch Infinite,ATX Mid Tower,70.7,2,,Tempered Glass
NZXT,H5 Flow RGB (2024),ATX Mid Tower,45.0,1,,Tempered Glass
Antec,C8 Wood,ATX Full Tower,66.9,2,,Tempered Glass
Antec,NX200M,MicroATX Mid Tower,,2,,Tempered Glass
Montech,KING 95 PRO,ATX Mid Tower,63.0,5,,Tempered Glass
GAMDIAS,TALOS E3,ATX Mid Tower,,2,,Tempered Glass
NZXT,H510,ATX Mid Tower,41.3,2,,Tempered Glass
GameMax,Nova N5,ATX Mid Tower,37.6,2,,Tempered Glass
Fractal Design,Ridge PCIe 4.0,Mini ITX Tower,16.3,0,,Mesh
Okinos,Aqua 3 ARGB,MicroATX Mini Tower,28.8,2,,Tempered Glass
HAVN,HS420,ATX Mid Tower,76.8,5,,Tempered Glass
NZXT,H9 Flow (2023),ATX Mid Tower,66.9,2,,Tempered Glass
Lian Li,A4-H20 A4,Mini ITX Desktop,11.1,0,,Mesh
NZXT,H9 Flow (2025),ATX Mid Tower,76.7,2,,Tempered Glass
NZXT,H7 Flow RGB (2024),ATX Mid Tower,62.1,2,,Tempered Glass
Fractal Design,Node 804,MicroATX Mid Tower,41.1,10,,Acrylic
DARKROCK,EC2,ATX Mid Tower,37.5,2,,Tempered Glass
MSI,MAG FORGE 320R AIRFLOW,ATX Mid Tower,49.4,2,,Tempered Glass
Fractal Design,Focus 2,ATX Mid Tower,45.8,2,,
Lian Li,Lancool 207 Digital,ATX Mid Tower,45.5,2,,Tempered Glass
Thermaltake,View 170 ARGB,MicroATX Mini Tower,35.0,1,,Tempered Glass
Fractal Design,Define 7,ATX Mid Tower,62.4,6,,
Montech,AIR 100 ARGB,MicroATX Mid Tower,36.1,2,,Tempered Glass
Lian Li,Vector V100,ATX Mid Tower,53.2,1,,Tempered Glass
Zalman,S2,ATX Mid Tower,38.4,2,,Acrylic
MSI,MAG FORGE 120A AIRFLOW,ATX Mid Tower,43.0,3,,Tempered Glass
Lian Li,LANCOOL III RGB,ATX Mid Tower,65.5,4,,Tempered Glass
Jonsbo,N4,MicroATX Desktop,19.6,6,,Mesh
Corsair,AIR 5400 LX-R RGB iCUE LINK,ATX Mid Tower,74.6,1,,Tempered Glass
Fractal Design,Node 304,Mini ITX Tower,19.5,6,,
Fractal Design,Pop XL Silent,ATX Full Tower,62.4,3,,
Jonsbo,N5,ATX Full Tower,50.1,12,,Mesh
DIYPC,DIY-S07,ATX Mid Tower,27.5,2,,Acrylic
Fractal Design,North XL,ATX Full Tower,61.4,2,,Tempered Glass
Phanteks,NV5 MKII,ATX Mid Tower,60.2,3,,Tempered Glass
Cooler Master,MasterBox NR200,Mini ITX Desktop,20.3,2,,
Lian Li,Vector V100,ATX Mid Tower,53.2,1,,Tempered Glass
Deepcool,CH160 PLUS,MicroATX Mini Tower,23.7,1,,Tempered Glass
Corsair,FRAME 4000D RS ARGB,ATX Mid Tower,56.7,2,,Tempered Glass
Fractal Design,Meshify 3,ATX Mid Tower,50.3,2,,Tinted Tempered Glass
SAMA,3509,ATX Mid Tower,41.4,2,,Tempered Glass
Aerocool,Bolt Mini Glass,MicroATX Mini Tower,,2,,Tempered Glass
Phanteks,XT V3,MicroATX Mini Tower,40.0,1,,Tempered Glass
DIYPC,DIY-mATX06-Wood,MicroATX Mini Tower,40.4,2,,Tempered Glass
Corsair,2500X,MicroATX Mini Tower,54.8,2,,Tempered Glass
Deepcool,CC560 V2,ATX Mid Tower,44.9,2,,Tempered Glass
Fractal Design,Pop Air RGB,ATX Mid Tower,46.2,2,,Tempered Glass
HAVN,HS420 VGPU,ATX Mid Tower,76.8,5,,Tempered Glass
Corsair,iCUE LINK 3500X RGB,ATX Mid Tower,55.9,2,,Tempered Glass
Okinos,Aqua 3 Air,MicroATX Mini Tower,28.8,2,,Tempered Glass
Fractal Design,Torrent,ATX Mid Tower,69.8,2,,Tinted Tempered Glass
HYTE,Y70,ATX Mid Tower,70.7,2,,Tempered Glass
Jonsbo,C6-ITX,Mini ITX Desktop,15.9,1,,Mesh
MSI,MAG PANO 100R PZ,ATX Mid Tower,72.5,2,,Tempered Glass
Zalman,T6 Mini,MicroATX Mini Tower,18.6,2,,
DIYPC,DIY-CUBE01,MicroATX Mini Tower,40.0,0,,Tempered Glass
Fractal Design,North,ATX Mid Tower,45.1,2,,Mesh
Montech,X5M,MicroATX Mini Tower,45.3,2,,Tempered Glass
Montech,KING 65 PRO,ATX Mid Tower,63.0,2,,Tempered Glass
HYTE,Y60,ATX Mid Tower,60.0,2,,Tempered Glass
Cooler Master,N200,MicroATX Mini Tower,33.8,2,,
MSI,MAG FORGE 100R,ATX Mid Tower,,2,,Tempered Glass
be quiet!,Pure Base 500DX,ATX Mid Tower,48.3,2,,Tempered Glass
