brand,model,vram,gddr,boostClock,coreClock,lengthInMM,powerDraw
MSI,GeForce RTX 3060 Ventus 2X,12,GDDR6,1777,1320,235,
Asus,PRIME GeForce RTX 5070 Ti,16,GDDR7,2482,2300,306,
Sapphire,PULSE Radeon RX 9060 XT,16,GDDR6,3290,2220,240,
PowerColor,Reaper Radeon RX 9060 XT,16,GDDR6,3230,2220,200,
Asus,PRIME GeForce RTX 5060 Ti,16,GDDR7,2602,2410,304,
Asus,ROG Astral OC GeForce RTX 5090,32,GDDR7,2610,2010,358,
Gigabyte,GAMING OC Radeon RX 9070 XT,16,GDDR6,3060,2520,288,
XFX,Swift OC Radeon RX 9060 XT,16,GDDR6,3320,2220,290,
Gigabyte,WINDFORCE OC SFF GeForce RTX 5070,12,GDDR7,2542,2160,282,
PNY,OC GeForce RTX 5080,16,GDDR7,2730,2300,329,
Sapphire,PULSE Radeon RX 9070 XT,16,GDDR6,2970,2400,320,
Intel,Limited Edition Arc B580,12,GDDR6,,2670,272,
PNY,VCNRTX6000ADA-PB RTX 6000 Ada Generation,48,GDDR6,2505,915,267,
Asus,PRIME OC Radeon RX 9070 XT,16,GDDR6,3030,2460,312,
Gigabyte,WINDFORCE SFF GeForce RTX 5070 Ti,16,GDDR7,,2452,304,
MSI,SHADOW 2X OC GeForce RTX 5060,8,GDDR6,2535,2280,197,
PowerColor,Reaper Radeon RX 9070 XT,16,GDDR6,2970,2400,289,
Asus,PRIME OC GeForce RTX 5070,12,GDDR7,,2160,306,
Asus,PRIME GeForce RTX 5080,16,GDDR7,,2300,306,
MSI,SHADOW 2X OC GeForce RTX 5070,12,GDDR7,,2557,231,
Gigabyte,GAMING OC Radeon RX 9060 XT,16,GDDR6,3320,2220,281,
Asus,DUAL OC GeForce RTX 5060 Ti,16,GDDR7,2632,2410,229,
XFX,Swift OC Radeon RX 9060 XT,16,GDDR6,3320,2220,270,
ASRock,Steel Legend Radeon RX 9070 XT,16,GDDR6,2970,2400,298,
MSI,GAMING TRIO OC GeForce RTX 5090,32,GDDR7,,2010,359,
XFX,Swift Radeon RX 9070 XT,16,GDDR6,2970,1660,325,
PNY,OC GeForce RTX 5070 Ti,16,GDDR7,2572,2295,300,
XFX,Swift OC Radeon RX 9060 XT,16,GDDR6,3320,2220,290,
MSI,VENTUS 2X OC GeForce RTX 3050,6,GDDR6,1492,1040,189,
MSI,GAMING TRIO OC GeForce RTX 5070 Ti,16,GDDR7,2580,2300,338,
Gigabyte,WINDFORCE OC GeForce RTX 5060,8,GDDR6,,2280,199,
Asus,PRIME GeForce RTX 5070,12,GDDR7,,2160,306,
Gigabyte,AORUS MASTER GeForce RTX 5090,32,GDDR7,2655,2010,360,
NVIDIA,Founders Edition GeForce RTX 5090,32,GDDR7,2407,2017,304,
XFX,GTS XXX Radeon RX 580,8,GDDR5,1386,1366,270,
NVIDIA,Founders Edition GeForce RTX 5070,12,GDDR7,2510,2160,242,
Asus,TUF GAMING OC GeForce RTX 5070 Ti,16,GDDR7,2610,2300,329,
Gigabyte,WINDFORCE OC SFF GeForce RTX 5080,16,GDDR7,,2300,304,
ASRock,Challenger Radeon RX 9070 XT,16,GDDR6,2970,2400,290,
Sapphire,NITRO+ Radeon RX 9070 XT,16,GDDR6,3060,2520,331,
MSI,SHADOW 3X OC GeForce RTX 5070 Ti,16,GDDR7,2497,2300,303,
XFX,Speedster SWFT 210 Core Radeon RX 7600,8,GDDR6,2655,1875,241,
MSI,VENTUS 2X BLACK OC GeForce RTX 4060,8,GDDR6,2505,1830,199,
Zotac,GAMING Twin Edge GeForce RTX 3060,12,GDDR6,1777,1320,224,
NVIDIA,Founders Edition GeForce RTX 5080,16,GDDR7,2620,2300,304,
PNY,OC GeForce RTX 5070,12,GDDR7,2587,2325,300,
Zotac,Twin Edge OC GeForce RTX 5060 Ti,16,GDDR7,2602,2410,220,
Asus,DUAL EVO OC GeForce RTX 4060 Ti,8,GDDR6,2595,2310,227,
Asus,TUF GAMING OC GeForce RTX 5070,12,GDDR7,,2160,329,
Asus,ROG Astral OC GeForce RTX 5080,16,GDDR7,,2300,358,
Gigabyte,AERO OC GeForce RTX 5070 Ti,16,GDDR7,,2588,340,
ASRock,Phantom Gaming OC Radeon RX 7900 XTX,24,GDDR6,2615,2300,330,
ASRock,Challenger D Radeon RX 6600,8,GDDR6,,1626,269,
ASRock,Challenger OC Arc B580,12,GDDR6,2740,2670,249,
Gigabyte,WINDFORCE GeForce RTX 5090,32,GDDR7,2407,2010,342,
Gigabyte,GAMING OC GeForce RTX 5080,16,GDDR7,,2300,340,
NVIDIA,Founders Edition GeForce RTX 3060 Ti,8,GDDR6,1670,1410,242,
Gigabyte,AORUS MASTER GeForce RTX 5090,32,GDDR7,2655,2010,360,
MSI,SHADOW 3X OC GeForce RTX 5080,16,GDDR7,2655,2300,303,
Gigabyte,WINDFORCE SFF GeForce RTX 5080,16,GDDR7,,2300,304,
PowerColor,Reaper Radeon RX 9060 XT,8,GDDR6,3130,2220,200,
PowerColor,Reaper Radeon RX 9070,16,GDDR6,2520,2070,289,
MSI,VENTUS 3X OC GeForce RTX 5070 Ti,16,GDDR7,2497,2300,303,
Asus,Dual GeForce RTX 3060 V2 OC Edition,12,GDDR6,1867,1320,200,
Gigabyte,WINDFORCE OC GeForce RTX 4070 SUPER,12,GDDR6X,2505,1980,261,
MSI,SHADOW 3X OC GeForce RTX 5070,12,GDDR7,2557,2160,303,
MSI,VENTUS 2X PLUS OC GeForce RTX 5060 Ti,16,GDDR7,2617,2410,227,
Gigabyte,WINDFORCE OC SFF GeForce RTX 5070 Ti,16,GDDR7,,2497,304,
XFX,Speedster MERC 310 Black Edition Radeon RX 7900 XTX,24,GDDR6,2615,2300,344,
XFX,Speedster SWFT 210 Core Radeon RX 7700 XT,12,GDDR6,2544,1425,280,
Asus,PRIME OC GeForce RTX 5070 Ti,16,GDDR7,2527,2300,306,
Asus,PRIME GeForce RTX 5060,8,GDDR6,2527,2280,268,
MSI,VENTUS 3X OC GeForce RTX 5080,16,GDDR7,2655,2300,303,
Sapphire,PURE Radeon RX 9070 XT,16,GDDR6,3010,2460,320,
XFX,Swift Radeon RX 9070 XT,16,GDDR6,2970,1660,325,
MSI,GT 710 2GD3 LP GeForce GT 710,2,GDDR3,,954,146,
Asus,DUAL OC GeForce RTX 5050,8,GDDR6,2677,2317,203,
MSI,VENTUS 2X XS OC GeForce RTX 3050,8,GDDR6,1807,1550,205,
Gigabyte,WINDFORCE GeForce RTX 5060 Ti,16,GDDR7,2572,2410,208,
Asus,TUF GAMING OC GeForce RTX 5080,16,GDDR7,,2300,348,
Zotac,SOLID SFF OC GeForce RTX 5070 Ti,16,GDDR7,2482,2300,304,
Gigabyte,EAGLE OC SFF GeForce RTX 5070,12,GDDR7,2587,2160,290,
PNY,RTX A-Series RTX A6000,48,GDDR6,1860,1455,267,
ASRock,Taichi OC Radeon RX 9070 XT,16,GDDR6,3100,2570,330,
Asus,TUF GAMING OC GeForce RTX 5070 Ti,16,GDDR7,2610,2300,329,
Asus,PRIME OC Radeon RX 9060 XT,16,GDDR6,3330,2220,304,
PNY,Dual Fan OC GeForce RTX 5060 Ti,16,GDDR7,2691,2407,245,
XFX,RX-79TMBABF9 Radeon RX 7900 XT,20,GDDR6,2400,2000,276,
Gigabyte,GAMING OC GeForce RTX 5070 Ti,16,GDDR7,,2588,340,
ASRock,Challenger OC Radeon RX 9060 XT,16,GDDR6,3290,2220,249,
Gigabyte,GAMING OC GeForce RTX 5090,32,GDDR7,2550,2010,342,
Asus,DUAL OC GeForce RTX 5060,8,GDDR6,2565,2280,228,
MSI,VENTUS 2X PLUS OC GeForce RTX 5060 Ti,8,GDDR7,2617,2410,227,
Gigabyte,EAGLE OC ICE SFF GeForce RTX 5070 Ti,16,GDDR7,,2541,304,
Gigabyte,GAMING OC GeForce RTX 5060 Ti,16,GDDR7,2647,2410,281,
Sapphire,PULSE Radeon RX 9070,16,GDDR6,2520,2070,280,
NVIDIA,Founders Edition GeForce RTX 4090,24,GDDR6X,2520,2230,304,
PNY,ARGB EPIC-X RGB OC GeForce RTX 5080,16,GDDR7,2780,2300,329,
PowerColor,Hellhound OC Radeon RX 9070,16,GDDR6,2590,2070,327,
Asus,TUF GAMING GeForce RTX 5090,32,GDDR7,,2010,348,
MSI,GAMING TRIO OC GeForce RTX 5080,16,GDDR7,,2300,338,
Gigabyte,GAMING OC Radeon RX 7600 XT,16,GDDR6,2810,1720,281,
Asus,ROG Astral OC GeForce RTX 5090,32,GDDR7,2610,2010,358,
ASRock,Challenger Radeon RX 9070,16,GDDR6,2520,2070,290,
XFX,Mercury OC RGB Radeon RX 9070 XT,16,GDDR6,3100,1870,360,
Gigabyte,AERO OC SFF GeForce RTX 5080,16,GDDR7,,2300,304,
MSI,VENTUS 2X OC GeForce RTX 5060,8,GDDR6,2535,2280,197,
Acer,Nitro OC Arc B580,12,GDDR6,,2740,268,
