brand,model,type,capacity,amount,speed,latency
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,36
Crucial,Pro Overclocking 32 GB,DDR5,16,2,6000,36
Corsair,Vengeance LPX 16 GB,DDR4,8,2,3200,16
Corsair,Vengeance RGB 64 GB,DDR5,32,2,6000,30
Kingston,FURY Beast 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance 32 GB,DDR5,16,2,6000,30
G.Skill,Flare X5 32 GB,DDR5,16,2,6000,36
Patriot,Viper Venom 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance LPX 32 GB,DDR4,16,2,3200,16
Silicon Power,GAMING 16 GB,DDR4,8,2,3200,16
G.Skill,Trident Z5 Neo RGB 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,36
Crucial,Pro 32 GB,DDR5,16,2,5600,46
TEAMGROUP,T-Create Expert 32 GB,DDR5,16,2,6000,30
G.Skill,Trident Z5 Neo RGB 64 GB,DDR5,32,2,6000,30
Silicon Power,XPOWER Zenith Gaming 32 GB,DDR5,16,2,6000,30
TEAMGROUP,T-Force Delta RGB 32 GB,DDR5,16,2,6000,30
Silicon Power,Value Gaming 32 GB,DDR5,16,2,6000,30
Kingston,FURY Beast 16 GB,DDR5,8,2,5200,40
Corsair,Vengeance LPX 32 GB,DDR4,16,2,3600,18
Corsair,Vengeance 64 GB,DDR5,32,2,5200,40
TEAMGROUP,T-Force Delta RGB 32 GB,DDR5,16,2,6000,30
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6400,36
G.Skill,Ripjaws V 32 GB,DDR4,16,2,3200,16
G.Skill,Ripjaws V 16 GB,DDR4,8,2,3200,16
G.Skill,Ripjaws V 64 GB,DDR4,16,4,3200,14
Corsair,Vengeance RGB Pro 32 GB,DDR4,16,2,3600,18
Crucial,Classic 16 GB,DDR5,8,2,5600,46
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,30
Crucial,Pro Overclocking 32 GB,DDR5,16,2,6000,36
G.Skill,Ripjaws V 16 GB,DDR4,8,2,3600,16
Corsair,Vengeance RGB Pro 16 GB,DDR4,8,2,3200,16
Corsair,Vengeance RGB 32 GB,DDR5,16,2,6000,30
G.Skill,Flare X5 32 GB,DDR5,16,2,6000,30
Silicon Power,GAMING 32 GB,DDR4,16,2,3200,16
Corsair,Vengeance 32 GB,DDR5,16,2,6000,36
Kingston,FURY Beast 64 GB,DDR5,32,2,6000,30
Kingston,FURY Beast RGB 32 GB,DDR5,16,2,6000,30
