brand,model,chipset,socketType,format,ramSlots,ramCapacity,memoryType
MSI,B650 GAMING PLUS WIFI,B650,AM5,ATX,4,192,DDR5
MSI,MAG B850 TOMAHAWK MAX WIFI,B850,AM5,ATX,4,256,DDR5
Gigabyte,B850 AORUS ELITE WIFI7,B850,AM5,ATX,4,256,DDR5
Asus,B650E MAX GAMING WIFI W,B650E,AM5,ATX,4,256,DDR5
Asus,PRIME B550M-A WIFI II,B550,AM4,Micro ATX,4,128,DDR4
ASRock,B850M Pro-A WiFi,B850M,AM5,Micro ATX,4,256,DDR5
Gigabyte,B650 EAGLE AX,B650,AM5,ATX,4,192,DDR5
Asus,TUF GAMING B850-PLUS WIFI,B850,AM5,ATX,4,256,DDR5
Gigabyte,A520M K V2,A520M,AM4,Micro ATX,2,64,DDR4
Asus,PRIME B650-PLUS WIFI,B650,AM5,ATX,4,192,DDR5
MSI,MAG B650 TOMAHAWK WIFI,B650,AM5,ATX,4,256,DDR5
Gigabyte,B650M GAMING PLUS WIFI,B650M,AM5,Micro ATX,4,192,DDR5
Gigabyte,X870E AORUS ELITE WIFI7,X870E,AM5,ATX,4,256,DDR5
Gigabyte,B850 GAMING WIFI6,B850,AM5,ATX,4,256,DDR5
MSI,MAG X870 TOMAHAWK WIFI,X870,AM5,ATX,4,256,DDR5
ASRock,B850I Lightning WiFi,B850I,AM5,Mini ITX,2,128,DDR5
MSI,PRO Z790-A MAX WIFI,Z790,LGA1700,ATX,4,256,DDR5
MSI,B550M PRO-VDH WIFI,B550M,AM4,Micro ATX,4,128,DDR4
Gigabyte,B550 EAGLE WIFI6,B550,AM4,ATX,4,128,DDR4
Gigabyte,B850 AORUS ELITE WIFI7 ICE,B850,AM5,ATX,4,256,DDR5
Asus,TUF GAMING B650E-E WIFI,B650E,AM5,ATX,4,256,DDR5
ASRock,B650M Pro RS WiFi,B650M,AM5,Micro ATX,4,256,DDR5
ASRock,B450M/ac R2.0,B450M,AM4,Micro ATX,4,128,DDR4
ASRock,B760M PG Riptide Wifi,B760M,LGA1700,Micro ATX,4,192,DDR5
MSI,PRO B650-S WIFI,B650,AM5,ATX,4,192,DDR5
Asus,ROG CROSSHAIR X870E EXTREME,X870E,AM5,EATX,4,256,DDR5
Asus,ROG STRIX B850-F GAMING WIFI,B850,AM5,ATX,4,192,DDR5
Asus,ROG STRIX X870E-E GAMING WIFI,X870E,AM5,ATX,4,256,DDR5
Gigabyte,B550M K,B550M,AM4,Micro ATX,4,128,DDR4
Gigabyte,B850 EAGLE WIFI6E,B850,AM5,ATX,4,256,DDR5
MSI,MAG B550 TOMAHAWK MAX WIFI,B550,AM4,ATX,4,128,DDR4
Gigabyte,Z790 EAGLE AX,Z790,LGA1700,ATX,4,256,DDR5
Asus,ROG STRIX B850-A GAMING WIFI,B850,AM5,ATX,4,192,DDR5
Asus,Z790 GAMING WIFI7,Z790,LGA1700,ATX,4,192,DDR5
MSI,B850 GAMING PLUS WIFI,B850,AM5,ATX,4,256,DDR5
ASRock,B850M-X WiFi R2.0,B850M,AM5,Micro ATX,2,128,DDR5
Asus,ROG ZENITH II EXTREME ALPHA,TRX40,sTRX4,EATX,8,256,DDR4
Gigabyte,X870 EAGLE WIFI7,X870,AM5,ATX,4,256,DDR5
ASRock,B650I Lightning Wifi,B650I,AM5,Mini ITX,2,96,DDR5
Asus,ROG STRIX X870-A GAMING WIFI,X870,AM5,ATX,4,256,DDR5
Asus,TUF GAMING B650-PLUS WIFI,B650,AM5,ATX,4,128,DDR5
Gigabyte,X870 AORUS ELITE WIFI7 ICE,X870,AM5,ATX,4,256,DDR5
Gigabyte,B550M AORUS ELITE AX,B550M,AM4,Micro ATX,4,128,DDR4
ASRock,B650 PG LIGHTNING,B650,AM5,ATX,4,256,DDR5
Gigabyte,B550M GAMING X WIFI6,B550M,AM4,Micro ATX,4,128,DDR4
MSI,B550-A PRO,B550,AM4,ATX,4,128,DDR4
