brand,model,type,capacity,formFactor,interface,cache
Samsung,990 Pro,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Crucial,P3 Plus,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,NV3,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 Pro,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,4096
Samsung,990 EVO Plus,SSD,2000,M.2-2280,M.2 PCIe 5.0 X2,
Samsung,990 Pro,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Western Digital,WD_Black SN850X,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Samsung,990 EVO Plus,SSD,1000,M.2-2280,M.2 PCIe 5.0 X2,
Crucial,P3 Plus,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,9100 PRO,SSD,8000,M.2-2280,M.2 PCIe 5.0 X4,8192
Samsung,9100 PRO,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,4096
Western Digital,WD_Black SN850X,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Silicon Power,UD90,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,9100 PRO,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,2048
Seagate,Barracuda Compute,7200 RPM,2000,3.5",SATA 6.0 Gb/s,256
Samsung,990 EVO Plus,SSD,4000,M.2-2280,M.2 PCIe 5.0 X2,
Kingston,NV3,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD_Black SN850X,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,2048
Samsung,870 Evo,SSD,1000,2.5",SATA 6.0 Gb/s,1024
Silicon Power,UD90,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Klevv,CRAS C910,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD Blue SN5000,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD_BLACK SN7100,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Patriot,P300,SSD,512,M.2-2280,M.2 PCIe 3.0 X4,
Intel,750,SSD,1200,PCIe,PCIe x4,
Seagate,Exos M,7200 RPM,30000,3.5",SATA 6.0 Gb/s,
Western Digital,WD_Black SN850X,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,2048
Crucial,P310,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,NV3,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Seagate,BarraCuda,5400 RPM,4000,3.5",SATA 6.0 Gb/s,256
SK Hynix,Platinum P41,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Mushkin,Source HC,SSD,16000,2.5",SATA 6.0 Gb/s,
Western Digital,WD Blue SN5000,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,9100 PRO w/Heatsink,SSD,8000,M.2-2280,M.2 PCIe 5.0 X4,8192
Samsung,870 Evo,SSD,4000,2.5",SATA 6.0 Gb/s,4096
Samsung,9100 PRO,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,1024
Klevv,CRAS C910,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Caviar Blue,7200 RPM,1000,3.5",SATA 6.0 Gb/s,64
Crucial,P310,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Black SN770,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,980 Pro,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Samsung,970 Evo Plus,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,1024
Crucial,P3 Plus,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Intel,DC P3608,SSD,4000,PCIe,PCIe x8,
Lexar,NM790,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,980 Pro,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Patriot,P400 Lite,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Acer,Predator GM7000,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Samsung,870 Evo,SSD,2000,2.5",SATA 6.0 Gb/s,2048
Crucial,T500,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD_BLACK SN8100,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,2048
Samsung,870 Evo,SSD,500,2.5",SATA 6.0 Gb/s,512
Patriot,Burst Elite,SSD,120,2.5",SATA 6.0 Gb/s,
Western Digital,Blue SN580,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,P510,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,
Seagate,BarraCuda,7200 RPM,24000,3.5",SATA 6.0 Gb/s,512
Kingston,NV2,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Seagate,Barracuda Compute,5400 RPM,8000,3.5",SATA 6.0 Gb/s,256
Western Digital,WD_BLACK SN8100,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,4096
Crucial,T705,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
Crucial,CT1000E100SSD8,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Black SN770,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
PNY,CS2230,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Kingston,KC3000,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,WD Green SN3000,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Lexar,NM790,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 Pro w/Heatsink,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
TEAMGROUP,MP44L,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
MSI,SPATIUM M470 PRO,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
SK Hynix,Platinum P41,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP,MP44L,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,870 QVO,SSD,8000,2.5",SATA 6.0 Gb/s,
Seagate,Exos M,7200 RPM,36000,3.5",SATA 6.0 Gb/s,
Silicon Power,UD90,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Green SN350,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Seagate,BarraCuda,7200 RPM,1000,3.5",SATA 6.0 Gb/s,64
Samsung,970 Evo Plus,SSD,2000,M.2-2280,M.2 PCIe 3.0 X4,1024
Patriot,P300,SSD,256,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital,WD Blue SN5000,SSD,500,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,BX500,SSD,1000,2.5",SATA 6.0 Gb/s,
Kingston,A400,SSD,240,2.5",SATA 6.0 Gb/s,
MSI,SPATIUM M480 PRO,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
KingSpec,XG7000,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 EVO,SSD,2000,M.2-2280,M.2 PCIe 5.0 X2,
Crucial,P510,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
TEAMGROUP,T-FORCE G50,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
PNY,CS2241,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP,T-FORCE G50,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Blue,7200 RPM,2000,3.5",SATA 6.0 Gb/s,256
Samsung,980,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Mushkin,Gamma,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,990 Pro w/Heatsink,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,4096
Acer,Predator GM7000,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Seagate,IronWolf NAS,7200 RPM,8000,3.5",SATA 6.0 Gb/s,256
Western Digital,WD_BLACK SN7100,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
MSI,SPATIUM M461,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,970 Evo Plus,SSD,500,M.2-2280,M.2 PCIe 3.0 X4,512
